,Time,LBA,PBA,Ops,Zone-idx,WA_1,WA_2
271,363.275336,43907,16643,w,0,-1,-1
272,363.275370,17089,31225,w,0,30759,31783.
273,363.275555,6116,11132,w,0,10590,11614.
274,363.275736,47062,23774,w,0,-1,-1
275,363.275768,58553,49465,w,0,-1,-1
276,363.275810,47580,24860,w,0,-1,-1
277,363.275843,50671,31927,w,0,-1,-1
278,363.275885,47286,23998,w,0,-1,-1
279,363.275917,2640,4920,w,0,4391,5415.
280,363.276106,50722,31978,w,0,-1,-1
281,363.276142,5040,9144,w,0,8590,9614.
282,363.276321,32791,59239,w,0,58701,59725.
283,363.276502,38356,4276,w,0,-1,-1
284,363.276535,51538,33930,w,0,-1,-1
285,363.276577,50140,30828,w,0,-1,-1
286,363.276609,2891,5627,w,0,5160,6184.
287,363.276789,40897,9657,w,0,-1,-1
288,363.276822,55347,42283,w,0,-1,-1
289,363.276865,15309,27621,w,0,27058,28082.
290,363.277047,6621,12093,w,0,11563,12587.
291,363.277332,33538,60898,w,0,60436,61460.
292,363.277514,28091,50891,w,0,50383,51407.
293,363.277695,20723,37595,w,0,37084,38108.
294,363.277875,61653,56541,w,0,-1,-1
295,363.277907,60823,54575,w,0,-1,-1
296,363.277949,16434,29658,w,0,29097,30121.
297,363.278149,20935,37807,w,0,37254,38278.
298,363.278333,36089,65273,w,0,64756,-1.
299,363.278457,60663,54415,w,0,-1,-1
300,363.278505,47276,23988,w,0,-1,-1
301,363.278553,27062,48950,w,0,48421,49445.
302,363.278738,46395,22539,w,0,-1,-1
303,363.278790,30394,55018,w,0,54504,55528.
304,363.278974,48627,27043,w,0,-1,-1
305,363.279026,46403,22547,w,0,-1,-1
306,363.279074,38322,4242,w,0,-1,-1
307,363.279118,22253,40493,w,0,40017,41041.
308,363.279310,48260,26676,w,0,-1,-1
309,363.279357,57367,47143,w,0,-1,-1
310,363.279405,22711,40951,w,0,40384,41408.
311,363.279589,46618,22762,w,0,-1,-1
312,363.279636,53985,39217,w,0,-1,-1
313,363.279680,43534,15702,w,0,-1,-1
314,363.279724,21982,39766,w,0,39231,40255.
315,363.279905,15561,28329,w,0,27828,28852.
316,363.280090,7691,14075,w,0,13558,14582.
317,363.280275,3015,5751,w,0,5260,6284.
318,363.280458,45637,20645,w,0,-1,-1
319,363.280510,6385,11857,w,0,11373,12397.
320,363.280695,36994,1210,w,0,-1,-1
321,363.280747,225,681,w,0,180,1204.
322,363.280931,25119,45639,w,0,45157,46181.
323,363.281125,55759,43263,w,0,-1,-1
324,363.281176,11839,21415,w,0,20864,21888.
325,363.281361,20394,36810,w,0,36252,37276.
326,363.281552,35278,64006,w,0,63537,64561.
327,363.281739,27849,50649,w,0,50189,51213.
328,363.281933,7040,12968,w,0,12467,13491.
329,363.282164,36173,65357,w,0,64824,-1.
330,363.282289,2298,4578,w,0,4116,5140.
331,363.282481,51932,34892,w,0,-1,-1
